street,traffic volume,accident count,crash_rate,latitude,longitude,risk level,Frequent_Day,Frequent_Hour,label
"102ND ST, Los Angeles",2238,184,8.22,33.9441028,-118.254688,low,Friday,14,10
"103RD ST, Los Angeles",138801,531,0.38,33.942642,-118.243168,low,Tuesday,14,10
"104TH ST, Los Angeles",17741,239,1.35,33.9417897,-118.3699816,low,Saturday,17,2
"105TH ST, Los Angeles",14131,178,1.26,34.7501181,-118.3162445,low,Tuesday,1,8
"10TH AV, Los Angeles",3642,145,3.98,34.0378282,-118.3276557,low,Saturday,15,17
"10TH ST, Los Angeles",2750,127,4.62,34.0440577,-118.2622594,low,Wednesday,2,21
"111TH ST, Los Angeles",553,173,31.28,33.9342922,-118.236314,low,Friday,13,10
"112TH ST, Los Angeles",3315,198,5.97,33.9329679,-118.2695225,low,Monday,12,10
"114TH ST, Los Angeles",961,216,22.48,33.9309512,-118.2577662,low,Wednesday,15,10
"115TH ST, Los Angeles",972,168,17.28,33.9300197,-118.3551463,low,Friday,18,2
"116TH ST, Los Angeles",1932,62,3.21,33.9291268,-118.3513798,low,Friday,17,2
"118 FWY, Los Angeles",15968,1,0.01,33.8869744,-118.0343288,low,Thursday,12,20
"118TH ST, Los Angeles",9074,78,0.86,33.9272872,-118.3787258,low,Wednesday,12,2
"11TH AV, Los Angeles",1870,203,10.86,34.0053225,-118.3296131,low,Tuesday,12,17
"11TH ST, Los Angeles",20202,532,2.63,34.0207803,-118.4873641,low,Sunday,17,19
"12TH ST, Los Angeles",5257,430,8.18,34.0165635,-118.4806073,low,Saturday,17,19
"134 FWY, Los Angeles",6305,3,0.05,34.1788711,-118.3116473,low,Thursday,9,9
"13TH ST, Los Angeles",3817,101,2.65,34.3852267,-118.5303057,low,Saturday,23,22
"14TH ST, Los Angeles",11020,221,2.01,34.0263021,-118.4883044,low,Tuesday,8,19
"155TH ST, Los Angeles",390,1,0.26,33.890718,-118.2894797,low,Saturday,1,10
"157TH ST, Los Angeles",6028,14,0.23,33.8889184,-118.2894108,low,Saturday,17,10
"15TH ST, Los Angeles",529,282,53.31,34.0256411,-118.4856809,medium,Wednesday,15,19
"161ST ST, Los Angeles",15849,1,0.01,33.8851004,-118.082438,low,Saturday,18,20
"168TH ST, Los Angeles",4505,20,0.44,33.8781861,-118.0796508,low,Tuesday,10,20
"16TH ST, Los Angeles",17482,283,1.62,34.0216964,-118.4792075,low,Tuesday,1,19
"170TH ST, Los Angeles",110,3,2.73,33.8764867,-118.326489,low,Monday,15,2
"17TH ST, Los Angeles",16073,261,1.62,34.0266684,-118.4831955,low,Friday,15,19
"186TH ST, Los Angeles",31234,28,0.09,33.861936,-118.3492311,low,Wednesday,19,2
"18TH ST, Los Angeles",12106,394,3.25,34.0200575,-118.473634,low,Thursday,17,19
"1ST ST, Los Angeles",398619,76,0.02,33.7687147,-118.1893988,low,Sunday,16,11
"20TH ST, Los Angeles",8005,1259,15.73,34.0289242,-118.4803011,low,Sunday,2,19
"214TH ST, Los Angeles",758,226,29.82,33.8344441,-118.3110465,low,Tuesday,15,4
"218TH ST, Los Angeles",33544,5,0.01,33.8296023,-118.3166428,low,Wednesday,8,4
"21ST ST, Los Angeles",18897,14,0.07,34.0291013,-118.4781509,low,Sunday,1,19
"223RD ST, Los Angeles",71471,233,0.33,33.8245345,-118.3004258,low,Saturday,1,4
"22ND ST, Los Angeles",8256,90,1.09,34.0250645,-118.4722991,low,Sunday,3,19
"23RD ST, Los Angeles",79552,204,0.26,34.0291645,-118.2735701,low,Saturday,17,21
"240TH ST, Los Angeles",3899,374,9.59,33.806536,-118.315557,low,Tuesday,15,4
"24TH ST, Los Angeles",73321,9,0.01,34.0343925,-118.4802714,low,Monday,17,19
"253RD ST, Los Angeles",7448,231,3.1,33.7953557,-118.3265074,low,Saturday,15,4
"257TH ST, Los Angeles",2117,44,2.08,33.7906923,-118.3145654,low,Tuesday,8,4
"25TH ST, Los Angeles",223090,25,0.01,34.0392946,-118.48322,low,Friday,15,19
"26TH ST, Los Angeles",1596,376,23.56,34.0330223,-118.4739867,low,Saturday,1,19
"27TH ST, Los Angeles",9562,63,0.66,34.0252198,-118.4635328,low,Friday,14,19
"28TH ST, Los Angeles",12875,263,2.04,34.0187976,-118.455848,low,Friday,17,19
"29TH ST, Los Angeles",4162,260,6.25,34.0220868,-118.4571734,low,Thursday,10,19
"2ND AV, Los Angeles",4686,213,4.55,34.0343617,-118.3188628,low,Wednesday,12,17
"2ND PL, Los Angeles",6544,164,2.51,33.8784926,-118.4082728,low,Saturday,19,2
"2ND ST, Los Angeles",58374,2,0.0,33.7576567,-118.1125867,low,Monday,11,11
"30TH ST, Los Angeles",9025,666,7.38,33.7169615,-118.2874334,low,Monday,16,4
"31ST ST, Los Angeles",2153,302,14.03,34.0263901,-118.2922791,low,Tuesday,19,17
"32ND ST, Los Angeles",6042,81,1.34,34.0237941,-118.454247,low,Saturday,21,19
"33RD ST, Los Angeles",976,123,12.6,34.0243899,-118.453223,low,Tuesday,10,19
"34TH ST, Los Angeles",466,93,19.96,34.0249958,-118.452194,low,Wednesday,22,19
"35TH PL, Los Angeles",2048,30,1.46,33.8999971,-118.4174054,low,Thursday,9,2
"35TH ST, Los Angeles",15181,42,0.28,33.9000916,-118.4159115,low,Friday,3,2
"36TH PL, Los Angeles",6878,132,1.92,33.9001771,-118.4191555,low,Saturday,20,2
"36TH ST, Los Angeles",484,130,26.86,33.8221575,-118.1857044,low,Saturday,3,11
"37TH PL, Los Angeles",8418,189,2.25,34.0174002,-118.2822791,low,Sunday,18,21
"37TH ST, Los Angeles",16535,64,0.39,34.016326,-118.2771819,low,Sunday,10,21
"38TH PL, Los Angeles",6021,150,2.49,33.7595393,-118.1486476,low,Saturday,15,11
"38TH ST, Los Angeles",3854,46,1.19,33.9015169,-118.4183919,low,Saturday,1,2
"39TH ST, Los Angeles",8061,109,1.35,33.9021324,-118.4186911,low,Sunday,11,2
"3RD AV, Los Angeles",4286,304,7.09,34.0296547,-118.320044,low,Saturday,13,17
"3RD ST, Los Angeles",634585,171,0.03,34.0066398,-118.4857617,low,Friday,14,19
"41ST DR, Los Angeles",6644,3434,51.69,34.0090308,-118.3138236,medium,Friday,18,17
"41ST PL, Los Angeles",12576,57,0.45,34.0081409,-118.3138254,low,Friday,1,17
"41ST ST, Los Angeles",25995,169,0.65,34.6820844,-118.203707,low,Friday,7,8
"42ND PL, Los Angeles",1516,366,24.14,34.0060789,-118.3045763,low,Friday,13,17
"42ND ST, Los Angeles",2826,147,5.2,33.904116,-118.419308,low,Friday,7,2
"43RD PL, Los Angeles",1337,252,18.85,34.0042845,-118.3303578,low,Tuesday,8,17
"43RD ST, Los Angeles",14939,154,1.03,33.9047326,-118.4196004,low,Sunday,17,2
"46TH ST, Los Angeles",1144,325,28.41,34.0019222,-118.3007353,low,Friday,2,17
"47TH ST, Los Angeles",3609,207,5.74,33.9992478,-118.1981434,low,Saturday,1,12
"48TH PL, Los Angeles",2688,202,7.51,33.9993682,-118.2452143,low,Friday,7,21
"48TH ST, Los Angeles",79631,44,0.06,33.9998658,-118.2959044,low,Tuesday,22,17
"49TH ST, Los Angeles",6324,482,7.62,33.999078,-118.2247289,low,Monday,8,12
"4TH AV, Los Angeles",9045,239,2.64,34.0473296,-118.3213029,low,Monday,8,17
"4TH ST, Los Angeles",150267,228,0.15,34.001203,-118.4787164,low,Friday,17,19
"51ST PL, Los Angeles",562,1482,263.7,33.9959928,-118.2991177,high,Wednesday,7,17
